x;y;vx;vy;vz;pitch;roll;yaw
1861.92;354.68;-386.87;209.6;0.0;65021.0;189.0;28988.0
1745.84;392.43;-423.42;119.68;0.0;64764.0;65400.0;32394.0
1638.99;452.46;-419.8;131.8;0.0;64250.0;270.0;35480.0
1517.45;432.67;-415.42;-145.01;0.0;63993.0;87.0;36766.0
1408.07;421.19;-429.56;95.29;0.0;64250.0;65445.0;38254.0
1285.72;434.69;-437.68;-45.08;0.0;64250.0;115.0;43412.0
1212.36;338.85;-182.0;-400.6;0.0;64250.0;49.0;44998.0
1116.9;272.75;-371.74;-235.39;0.0;64507.0;76.0;47762.0
1065.85;168.21;-28.35;-439.09;0.0;64507.0;127.0;49354.0
1068.31;46.31;19.26;-439.58;0.0;64507.0;0.0;49644.0
1074.34;-75.26;-61.23;-435.72;0.0;64507.0;65288.0;51698.0
1055.74;-194.26;123.69;-422.26;0.0;64507.0;259.0;54048.0
1104.32;-296.33;232.83;-373.35;0.0;64507.0;178.0;56144.0
1180.86;-394.25;297.96;-323.76;0.0;64507.0;127.0;57778.0
1275.41;-471.61;364.62;-246.27;0.0;64507.0;41.0;59624.0
1373.73;-523.92;437.08;-50.6;0.0;64507.0;270.0;59712.0
1494.41;-505.28;429.21;96.85;0.0;64507.0;0.0;59674.0
1605.46;-546.02;347.55;-269.84;0.0;64764.0;65436.0;58096.0
1698.96;-628.01;323.43;-298.32;0.0;64764.0;0.0;57690.0
1786.15;-713.25;299.06;-322.75;0.0;64764.0;65475.0;56518.0
1866.87;-806.19;291.54;-341.04;315.96;64764.0;65534.0;56518.0
1949.19;-902.68;290.42;-342.05;47.4;64764.0;65525.0;56274.0
2023.45;-991.15;286.35;-345.53;-197.13;64764.0;65517.0;56068.0
2101.67;-1086.65;280.74;-338.8;0.0;64764.0;40.0;56692.0
2186.22;-1173.0;331.29;-289.56;0.0;64764.0;51.0;58416.0
2283.65;-1246.13;372.16;-234.74;0.0;64764.0;57.0;60076.0
2387.31;-1291.77;439.87;-10.36;0.0;64764.0;259.0;61652.0
2506.13;-1293.49;420.44;-129.73;0.0;64250.0;65426.0;61728.0
2622.08;-1333.36;437.08;-50.61;0.0;64250.0;259.0;60426.0
2739.43;-1350.61;359.42;-253.81;0.0;64250.0;65276.0;57296.0
2820.94;-1443.09;242.25;-367.31;0.0;64507.0;65446.0;54674.0
2912.14;-1502.71;329.84;-291.22;0.0;64507.0;65288.0;52592.0
2961.87;-1616.15;117.09;-424.13;0.0;64507.0;65437.0;51190.0
2977.94;-1738.33;31.18;-438.9;0.0;64507.0;0.0;49794.0
2978.93;-1863.07;-26.75;-439.19;0.0;64507.0;65482.0;48114.0
2966.1;-1973.63;-57.87;-436.18;0.0;65021.0;0.0;47748.0
2980.56;-2102.07;155.68;-411.54;0.0;64764.0;65480.0;43952.0
2944.07;-2200.52;-293.28;-328.01;0.0;64764.0;65302.0;39994.0
2844.45;-2273.23;-387.99;-207.51;0.0;64764.0;65423.0;37182.0
2732.71;-2321.97;-410.5;-158.4;0.0;64764.0;0.0;36482.0
2614.31;-2359.68;-429.05;-97.55;0.0;64764.0;65443.0;34526.0
2493.12;-2376.16;-439.44;-22.11;0.0;64507.0;65460.0;32746.0
2374.06;-2392.8;-430.72;89.91;0.0;64507.0;65384.0;29724.0
2265.09;-2362.04;-418.42;136.09;0.0;64507.0;65455.0;28356.0
2148.84;-2328.07;-395.06;193.73;0.0;64507.0;65276.0;20968.0
2090.78;-2219.87;-115.11;424.68;0.0;64507.0;65428.0;18484.0
2069.43;-2096.45;-54.47;436.61;0.0;64764.0;0.0;17590.0
2057.28;-1976.07;-32.43;438.8;0.0;64764.0;65497.0;16870.0
2052.7;-1862.91;-13.07;439.8;0.0;64764.0;0.0;16678.0
2047.02;-1740.6;-26.99;439.17;0.0;64507.0;0.0;17030.0
2039.79;-1618.85;-23.49;439.37;0.0;64507.0;0.0;16806.0
2035.54;-1493.57;-11.69;439.85;0.0;64507.0;0.0;16652.0
2032.37;-1370.67;-10.81;439.87;0.0;64507.0;0.0;16614.0
2029.49;-1258.91;-13.6;439.79;0.0;65021.0;0.0;16728.0
2025.45;-1134.58;-14.49;439.76;0.0;65021.0;0.0;16728.0
2021.36;-1010.84;-14.83;449.21;148.76;65021.0;65535.0;16728.0
2017.49;-893.73;-14.83;449.2;-98.9;65021.0;65535.0;16728.0
2013.36;-768.36;-14.51;439.76;0.0;65021.0;0.0;16728.0
2009.37;-643.55;-11.28;439.85;0.0;65278.0;0.0;16576.0
2006.93;-520.15;-8.02;439.93;0.0;65278.0;0.0;16576.0
2005.12;-398.68;-4.01;439.98;0.0;65278.0;0.0;16462.0
2004.32;-274.78;-2.23;439.99;0.0;65021.0;0.0;16500.0
2010.37;-163.84;171.94;405.02;0.0;65021.0;65265.0;16924.0
2048.95;-51.38;-44.74;437.72;0.0;65021.0;238.0;18986.0
2005.02;63.06;-215.17;383.8;0.0;64507.0;56.0;22028.0
1976.21;179.05;47.48;437.43;0.0;64507.0;65480.0;23130.0
1934.85;287.87;-299.11;322.69;0.0;64507.0;115.0;24908.0
1842.85;368.9;-284.43;335.71;0.0;64507.0;65265.0;27718.0
1766.28;445.05;-406.78;167.72;0.0;64507.0;245.0;30240.0
1647.54;471.45;-437.3;48.65;0.0;64507.0;70.0;32060.0
1524.34;477.42;-439.97;-5.25;0.0;64507.0;50.0;33412.0
1405.28;449.31;-388.1;-207.31;0.0;64507.0;149.0;38826.0
1286.83;441.79;-436.83;52.72;0.0;63993.0;64.0;40750.0
1200.54;374.49;-256.05;-357.82;0.0;63993.0;106.0;43306.0
1121.07;284.44;-381.97;-218.4;0.0;63993.0;65396.0;45424.0
1067.35;176.69;-111.85;-425.55;0.0;64250.0;113.0;47274.0
1052.44;55.0;-3.8;-439.98;0.0;65535.0;65.0;49450.0
1055.95;-67.86;35.61;-438.56;0.0;65021.0;110.0;50832.0
1019.57;-183.51;-191.52;-396.13;0.0;64764.0;50.0;53382.0
1029.92;-288.25;233.91;-372.68;0.0;64764.0;206.0;56172.0
1111.62;-380.26;326.18;-295.3;0.0;64764.0;53.0;58258.0
1206.7;-457.35;355.34;-259.48;0.0;65021.0;57.0;59320.0
1315.82;-509.19;440.0;-0.14;0.0;65021.0;270.0;59540.0
1432.02;-533.25;382.65;-217.21;0.0;65021.0;65438.0;59540.0
1550.64;-535.82;433.79;73.65;0.0;65021.0;0.0;59110.0
1655.44;-563.32;354.76;-260.27;0.0;65021.0;65384.0;58086.0
1745.45;-644.01;308.51;-313.73;0.0;65021.0;65486.0;56900.0
1827.04;-734.0;287.99;-332.66;0.0;65021.0;0.0;56532.0
1906.88;-829.02;284.39;-349.06;313.87;65021.0;65520.0;55980.0
1986.1;-928.64;274.68;-356.73;45.31;65021.0;65489.0;55262.0
2060.9;-1028.54;265.63;-363.5;-218.03;65021.0;65509.0;55262.0
2136.78;-1128.15;301.82;-320.16;0.0;65021.0;193.0;58380.0
2221.42;-1200.37;343.69;-274.73;0.0;65021.0;0.0;58566.0
2320.5;-1274.65;370.75;-236.94;0.0;65021.0;107.0;60242.0
2437.69;-1286.66;439.97;4.69;0.0;65278.0;65276.0;61338.0
2552.2;-1324.05;402.43;-177.9;0.0;65021.0;65485.0;60824.0
2662.0;-1338.85;437.02;51.08;0.0;64764.0;29.0;58684.0
2774.87;-1370.34;336.86;-283.07;0.0;64764.0;65345.0;57116.0
2865.96;-1447.01;400.17;-182.92;0.0;64764.0;103.0;53578.0
2930.88;-1543.59;112.03;-425.5;0.0;64764.0;65416.0;51052.0
2943.69;-1666.47;-2.49;-439.99;0.0;64764.0;65460.0;48574.0
2930.62;-1788.09;-69.25;-434.52;0.0;65278.0;0.0;47428.0
2924.62;-1906.92;145.36;-415.29;0.0;64764.0;247.0;46530.0
2971.84;-2021.91;137.32;-418.02;0.0;64764.0;65479.0;43634.0
2933.51;-2125.06;-143.77;-415.85;0.0;64764.0;259.0;41496.0
2918.36;-2245.45;-76.75;-433.25;0.0;64764.0;65476.0;38580.0
2841.14;-2332.55;-402.17;-178.49;0.0;64764.0;65339.0;35802.0
2722.38;-2360.83;-436.42;-56.04;0.0;64764.0;65467.0;33648.0
2607.78;-2402.01;-376.53;-227.65;0.0;64764.0;65496.0;29706.0
2487.1;-2385.78;-420.69;128.92;0.0;64764.0;65502.0;29474.0
2376.54;-2380.35;-427.02;-106.07;0.0;64507.0;50.0;27406.0
2257.2;-2396.69;-439.7;16.19;0.0;64250.0;65442.0;23156.0
2176.46;-2312.57;-163.04;408.68;0.0;64250.0;65358.0;19234.0
2147.75;-2195.23;-74.92;433.57;0.0;64507.0;0.0;17986.0
2103.09;-2081.92;-96.89;429.2;0.0;64507.0;65288.0;16838.0
2089.82;-1961.11;-146.58;414.87;0.0;64764.0;259.0;16686.0
2042.8;-1857.02;-53.85;436.69;0.0;64764.0;65362.0;16686.0
2036.76;-1735.22;-13.67;439.79;0.0;64764.0;0.0;16686.0
2033.21;-1614.28;-12.67;439.82;0.0;64764.0;0.0;16686.0
2029.69;-1491.87;-12.65;439.82;0.0;64764.0;0.0;16686.0
2026.12;-1367.54;-12.65;439.82;0.0;64764.0;0.0;16686.0
2024.72;-1253.33;1.33;440.0;0.0;64764.0;0.0;16318.0
2025.29;-1129.43;-0.48;440.0;0.0;64764.0;0.0;16480.0
2024.39;-1005.07;-3.82;448.65;231.32;64764.0;0.0;16480.0
2023.33;-881.2;-3.68;448.66;-30.98;64764.0;65532.0;16404.0
2022.51;-755.35;-2.15;448.66;-297.45;64764.0;65531.0;16366.0
2022.41;-631.92;0.71;440.0;0.0;64764.0;0.0;16366.0
2022.74;-519.15;2.09;440.0;0.0;64764.0;0.0;16328.0
2023.38;-395.74;2.36;439.99;0.0;64764.0;0.0;16328.0
2024.04;-273.77;2.37;439.99;0.0;64764.0;0.0;16328.0
2023.64;-150.84;-7.89;439.93;0.0;64764.0;0.0;16806.0
2039.01;-33.19;-70.94;434.24;0.0;64507.0;259.0;20692.0
1985.8;75.68;-239.34;369.21;0.0;64507.0;29.0;22570.0
1955.94;193.98;-13.31;439.8;0.0;64507.0;0.0;25090.0
1907.39;297.55;-376.92;227.01;0.0;64764.0;259.0;29314.0
1809.99;349.51;-295.78;325.75;0.0;64764.0;65276.0;29352.0
1739.99;448.02;-286.68;333.79;0.0;64764.0;78.0;32756.0
1625.6;475.22;-434.77;-67.64;0.0;64764.0;133.0;35322.0
1504.24;446.68;-439.13;-27.66;0.0;65021.0;65288.0;35630.0
1387.35;481.91;-427.93;102.34;0.0;65278.0;115.0;40086.0
1288.92;442.01;-294.49;-326.91;0.0;65535.0;175.0;42536.0
1198.01;366.04;-400.47;-182.28;0.0;65535.0;0.0;45522.0
1097.67;291.08;-188.59;-397.54;0.0;65278.0;270.0;49610.0
1091.03;178.68;19.75;-439.56;0.0;65535.0;32.0;49794.0
1082.98;57.69;-179.61;-401.67;0.0;65278.0;65325.0;51610.0
1029.79;-52.6;-183.77;-399.78;0.0;65021.0;0.0;52902.0
1006.65;-167.76;162.23;-409.0;0.0;64507.0;247.0;55862.0
1062.4;-278.63;54.96;-436.55;0.0;64250.0;65278.0;57078.0
1111.06;-384.85;348.81;-268.2;0.0;64250.0;226.0;60062.0
1208.02;-441.26;391.59;-200.66;0.0;64507.0;0.0;60726.0
1318.83;-496.7;394.15;-195.56;0.0;64507.0;0.0;60764.0
1438.15;-503.07;435.96;-59.5;0.0;64764.0;65276.0;59982.0
1557.51;-517.8;435.33;63.96;0.0;64764.0;45.0;59180.0
1666.59;-562.05;361.05;-251.47;0.0;64764.0;65470.0;58826.0
1762.07;-639.3;319.51;-302.51;0.0;64764.0;65463.0;57110.0
1842.03;-728.72;277.54;-341.43;0.0;64764.0;65498.0;56006.0
1911.55;-818.82;271.56;-358.15;278.35;64764.0;65531.0;55854.0
1987.85;-919.81;270.39;-359.11;10.83;64764.0;65531.0;55816.0
2062.34;-1019.08;269.14;-360.07;-251.47;64764.0;65530.0;55740.0
2135.48;-1117.93;260.0;-354.96;0.0;64764.0;0.0;55740.0
2218.44;-1205.74;350.64;-265.81;0.0;64764.0;117.0;59556.0
2325.63;-1266.33;400.55;-182.11;0.0;64764.0;34.0;61280.0
2438.53;-1313.11;431.97;-83.67;0.0;64764.0;259.0;61280.0
2553.39;-1317.99;417.84;-137.87;0.0;64764.0;65368.0;61318.0
2665.43;-1364.78;392.54;-198.77;0.0;64507.0;65405.0;59578.0
2780.58;-1397.26;343.39;-275.1;0.0;64507.0;65265.0;56678.0
2864.12;-1484.84;357.99;-255.82;0.0;64507.0;259.0;53808.0
2924.77;-1588.25;150.62;-413.42;0.0;64507.0;65486.0;52470.0
2980.14;-1685.46;265.17;-351.12;0.0;64507.0;65400.0;49258.0
2995.75;-1807.48;-13.04;-439.81;0.0;64507.0;65444.0;48110.0
3007.27;-1924.59;-138.54;-417.62;0.0;64764.0;65296.0;44452.0
2961.07;-2037.55;-70.36;-434.34;0.0;65021.0;281.0;43200.0
2963.33;-2161.01;-62.45;-435.54;0.0;65021.0;65398.0;37674.0
2881.16;-2226.75;-427.64;-103.56;0.0;65021.0;65390.0;34382.0
2791.44;-2310.32;-269.66;-347.69;0.0;65021.0;0.0;34126.0
2687.82;-2362.87;-437.64;-45.45;0.0;65021.0;65411.0;33114.0
