x;y;vx;vy;pitch;roll;yaw;;;x;y;vx;vy;pitch;roll;yaw
1962,82;-2333,5;249,72;-362,27;63736;247;58058;;;;;;;;;
2062,57;-2358,46;392,94;197,97;63479;270;9174;;;;;;;;;
2097,16;-2251,25;-122,46;422,61;63479;270;21274;;;;;;;;;
2058,22;-2134,96;-78,66;432,91;64250;65375;17248;;;;;;;;;
2050,02;-2012,41;-7,42;439,94;64507;0;16468;;;;;;;;;
2048,99;-1890,45;2,22;440;64507;65495;16094;;;;;;;;;
2055,23;-1765,27;29,04;439,04;64507;0;15674;;;;;;;;;
2063,53;-1643,1;29,98;438,98;64507;0;15674;;;;;;;;;
2069,52;-1529,04;16,76;439,68;64507;0;16050;;;;;;;;;
2073,67;-1405,2;14,23;439,77;64507;0;16050;;;;;;;;;
2077,34;-1281,35;10,62;439,87;64764;0;16164;;;;;;;;;
2079,99;-1159,41;9,31;439,9;64764;0;16164;;;;;;;;;
2082,57;-1037,47;9,28;439,9;64764;0;16164;;;;;;;;;
2085,13;-916,02;9,28;439,9;64764;0;16164;;;;;;;;;
2087,73;-792,62;9,28;439,9;64764;0;16164;;;;;;;;;
2090,08;-681,33;9,28;439,9;64764;0;16164;;;;;;;;;
2092,67;-558,9;9,28;439,9;64764;0;16164;;;;;;;;;
2095,44;-427,29;9,28;439,9;64764;0;16126;;;;;;;;;
2098,85;-316,99;26,71;439,19;64764;65483;15424;;;;;;;;;
2109,57;-191,61;40,14;438,17;64764;0;15424;;;;;;;;;
2118,68;-69,02;26,01;439,23;64507;0;15800;;;;;;;;;
2125,61;53,23;24,65;439,31;64507;0;15838;;;;;;;;;
2121,78;174,5;-38,27;438,33;63736;0;17386;;;;;;;;;
2110,39;297,88;-39,27;438,24;63736;0;17262;;;;;;;;;
2086,28;416,32;-207,02;388,26;63222;247;24712;;;;;;;;;
1994,46;437,15;-297,11;-324,54;63993;270;47068;;;;;;;;;
1956,65;321,1;-80,66;-432,54;63479;76;47710;;;;;;;;;
1937,59;199,66;-65,48;-435,1;63993;25;47850;;;;;;;;;
1924,59;75;-34,23;-438,67;64507;0;48398;;;;;;;;;
1917,06;-36,55;-25,63;-439,25;64764;0;48626;;;;;;;;;
1913,23;-162,8;-5,6;-439,96;64764;0;49050;;;;;;;;;
1912,61;-286,21;3,96;-439,98;64764;0;49318;;;;;;;;;
1914,24;-409,14;4,88;-439,97;64764;0;49242;;;;;;;;;
1915,17;-534,01;2,35;-439,99;64764;0;49204;;;;;;;;;
1915,75;-647,75;2,2;-439,99;64764;0;49204;;;;;;;;;
1916,36;-769,23;2,19;-439,99;64764;0;49204;;;;;;;;;
1916,97;-892,16;2,19;-439,99;64764;0;49204;;;;;;;;;
1917,58;-1015,1;2,19;-439,99;64764;0;49204;;;;;;;;;
1918,19;-1138,03;2,19;-440;64764;0;49204;;;;;;;;;
1918,82;-1262,9;2,62;-439,99;64764;0;49242;;;;;;;;;
1920,43;-1384,37;6,78;-439,95;64764;0;49318;;;;;;;;;
1921,53;-1496,66;1,41;-440;64507;0;49146;;;;;;;;;
1921,54;-1622,5;-0,31;-440;64507;0;49146;;;;;;;;;
1921,51;-1744,95;0,74;-440;64507;0;49184;;;;;;;;;
1921,85;-1867,4;1,33;-440;64507;0;49184;;;;;;;;;
1921,01;-1981,13;-12,93;-439,81;63993;65502;48608;;;;;;;;;
1914,68;-2103,9;-25,8;-439,24;63993;0;48520;;;;;;;;;
1919,58;-2248,53;85,78;-431,56;63222;154;52472;;;;;;;;;
1994,17;-2340,16;422,87;-121,58;63222;146;4336;;;;;;;;;
2079,91;-2264,7;207,22;388,15;63736;84;11768;;;;;;;;;
2122,81;-2162,37;102,94;427,79;64250;215;15462;;;;;;;;;
2130,47;-2039,08;-25,88;439,24;64764;71;17388;;;;;;;;;
2121,97;-1915,97;-17,51;439,65;65021;0;16662;;;;;;;;;
2118,96;-1792,58;-8,68;439,91;65021;0;16586;;;;;;;;;
2116,56;-1668,22;-8,44;439,92;65278;0;16586;;;;;;;;;
2113,96;-1556,93;-12,87;439,81;65021;0;16710;;;;;;;;;
2110,06;-1435,02;-15,11;439,74;65021;0;16748;;;;;;;;;
2105,67;-1308,78;-15,35;439,73;65021;0;16748;;;;;;;;;
2101,66;-1184,45;-13,72;439,79;65021;0;16710;;;;;;;;;
2098,15;-1071,74;-13,66;439,79;65021;0;16710;;;;;;;;;
2094,35;-949,34;-13,66;439,79;65021;0;16710;;;;;;;;;
2090,55;-826,95;-13,66;439,79;65021;0;16710;;;;;;;;;
2086,73;-704,07;-13,67;439,79;64764;0;16672;;;;;;;;;
2083,55;-581,66;-9,02;439,91;64764;0;16582;;;;;;;;;
2081,19;-458,75;-8,28;439,92;64507;0;16582;;;;;;;;;
2078,94;-336,8;-7,07;439,94;64507;0;16468;;;;;;;;;
2078,11;-225,49;-2,06;440;64507;0;16392;;;;;;;;;
2083,37;-101,73;28,83;439,05;64250;0;15670;;;;;;;;;
2091,78;21,89;30,14;438,97;64250;0;15670;;;;;;;;;
2100,27;145,5;30,17;438,97;63993;0;15746;;;;;;;;;
2105,85;258,13;13,25;439,8;63479;29;16238;;;;;;;;;
2097,36;382,82;-91,21;430,44;63479;160;19684;;;;;;;;;
2031,61;478,77;-405,6;170,54;63479;247;33672;;;;;;;;;
1924,59;434,96;-280,06;-339,36;63479;281;44250;;;;;;;;;
1893,29;318,27;29,19;-439,03;63993;185;50894;;;;;;;;;
1907,83;206,45;48,25;-437,35;64250;65469;49926;;;;;;;;;
1915,2;83,77;14,96;-439,75;65021;0;49466;;;;;;;;;
1917,86;-38,16;4,04;-439,98;64764;0;49220;;;;;;;;;
