x;y;vx;vy;pitch;roll;yaw
2055.23;-1765.27;29.04;439.04;64507.0;0.0;15674.0
2063.53;-1643.1;29.98;438.98;64507.0;0.0;15674.0
2069.52;-1529.04;16.76;439.68;64507.0;0.0;16050.0
2073.67;-1405.2;14.23;439.77;64507.0;0.0;16050.0
2077.34;-1281.35;10.62;439.87;64764.0;0.0;16164.0
2079.99;-1159.41;9.31;439.9;64764.0;0.0;16164.0
2082.57;-1037.47;9.28;439.9;64764.0;0.0;16164.0
2085.13;-916.02;9.28;439.9;64764.0;0.0;16164.0
2087.73;-792.62;9.28;439.9;64764.0;0.0;16164.0
2090.08;-681.33;9.28;439.9;64764.0;0.0;16164.0
2092.67;-558.9;9.28;439.9;64764.0;0.0;16164.0
2095.44;-427.29;9.28;439.9;64764.0;0.0;16126.0
2098.85;-316.99;26.71;439.19;64764.0;65483.0;15424.0
2109.57;-191.61;40.14;438.17;64764.0;0.0;15424.0
2118.68;-69.02;26.01;439.23;64507.0;0.0;15800.0
2125.61;53.23;24.65;439.31;64507.0;0.0;15838.0
2121.78;174.5;-38.27;438.33;63736.0;0.0;17386.0
2110.39;297.88;-39.27;438.24;63736.0;0.0;17262.0
2086.28;416.32;-207.02;388.26;63222.0;247.0;24712.0
1994.46;437.15;-297.11;-324.54;63993.0;270.0;47068.0
1956.65;321.1;-80.66;-432.54;63479.0;76.0;47710.0
1937.59;199.66;-65.48;-435.1;63993.0;25.0;47850.0
1924.59;75.0;-34.23;-438.67;64507.0;0.0;48398.0
1917.06;-36.55;-25.63;-439.25;64764.0;0.0;48626.0
1913.23;-162.8;-5.6;-439.96;64764.0;0.0;49050.0
1912.61;-286.21;3.96;-439.98;64764.0;0.0;49318.0
1914.24;-409.14;4.88;-439.97;64764.0;0.0;49242.0
1915.17;-534.01;2.35;-439.99;64764.0;0.0;49204.0
1915.75;-647.75;2.2;-439.99;64764.0;0.0;49204.0
1916.36;-769.23;2.19;-439.99;64764.0;0.0;49204.0
1916.97;-892.16;2.19;-439.99;64764.0;0.0;49204.0
1917.58;-1015.1;2.19;-439.99;64764.0;0.0;49204.0
1918.19;-1138.03;2.19;-440.0;64764.0;0.0;49204.0
1918.82;-1262.9;2.62;-439.99;64764.0;0.0;49242.0
1920.43;-1384.37;6.78;-439.95;64764.0;0.0;49318.0
1921.53;-1496.66;1.41;-440.0;64507.0;0.0;49146.0
1921.54;-1622.5;-0.31;-440.0;64507.0;0.0;49146.0
1921.51;-1744.95;0.74;-440.0;64507.0;0.0;49184.0
1921.85;-1867.4;1.33;-440.0;64507.0;0.0;49184.0
1921.01;-1981.13;-12.93;-439.81;63993.0;65502.0;48608.0
1914.68;-2103.9;-25.8;-439.24;63993.0;0.0;48520.0
1919.58;-2248.53;85.78;-431.56;63222.0;154.0;52472.0
1994.17;-2340.16;422.87;-121.58;63222.0;146.0;4336.0
2079.91;-2264.7;207.22;388.15;63736.0;84.0;11768.0
2122.81;-2162.37;102.94;427.79;64250.0;215.0;15462.0
2130.47;-2039.08;-25.88;439.24;64764.0;71.0;17388.0
2121.97;-1915.97;-17.51;439.65;65021.0;0.0;16662.0
2118.96;-1792.58;-8.68;439.91;65021.0;0.0;16586.0
2116.56;-1668.22;-8.44;439.92;65278.0;0.0;16586.0
2113.96;-1556.93;-12.87;439.81;65021.0;0.0;16710.0
2110.06;-1435.02;-15.11;439.74;65021.0;0.0;16748.0
2105.67;-1308.78;-15.35;439.73;65021.0;0.0;16748.0
2101.66;-1184.45;-13.72;439.79;65021.0;0.0;16710.0
2098.15;-1071.74;-13.66;439.79;65021.0;0.0;16710.0
